一	yī
一一	yīyī
一下(子)	yīxià
一下儿	yīxiàér
一下子	yīxiàzi
一不小心	yíbùxiǎoxīn
一个劲儿	yígèjìnér
一举	yījǔ
一举一动	yījǔyīdòng
一举两得	yìjǔliǎngdé
一事无成	yíshìwúchéng
一五一十	yìwǔyìshí
一些	yīxiē
一代	yídài
一会儿	yīhuìer
一体	yītǐ
一共	yīgòng
一再	yīzài
一切	yīqiè
一刹那	yīchànà
一动不动	yīdòngbùdòng
一半	yíbàn
一卡通	yīkǎtōng
一口气	yìkǒuqì
一句话	yījùhuà
一同	yītóng
一向	yíxiàng
一味	yīwèi
一回事	yīhuíshì
一块	yīkuài
一块儿	yīkuàiér
一塌糊涂	yītāhútú
一声不吭	yīshēngbùkēng
一夕	yíxì
一大早	yīdàzǎo
一天到晚	yītiāndàowǎn
一头	yītóu
一如	yīrú
一如既往	yìrújìwǎng
一定	yídìng
一家人	yījiārén
一帆风顺	yīfānfēngshùn
一带	yīdài
一干二净	yīgānèrjìng
一年到头	yìniándàotóu
一并	yíbìng
一应俱全	yīyīngjùquán
一度	yídù
一律	yīlǜ
一心	yīxīn
一心一意	yìxīnyíyì
一成不变	yīchéngbùbiàn
一手	yīshǒu
一技之长	yījìzhīcháng
一把手	yībǎshǒu
一揽子	yīlǎnzi
一方面	yìfāngmiàn
一旁	yīpáng
一无所有	yīwúsuǒyǒu
一无所知	yīwúsuǒzhī
一旦	yídàn
一早	yīzǎo
一时	yīshí
一晃	yīhuǎng
一样	yīyàng
一概	yīgài
一概而论	yīgàiérlùn
一模一样	yīmúyīyàng
一次性	yícìxìng
一毛不拔	yīmáobùbá
一流	yìliú
一点	yīdiăn
一点一滴	yìdiǎnyìdī
一点儿	yìdiǎnér
一点点	yìdiǎndiǎn
一生	yīshēng
一番	yīfān
一目了然	yīmùliǎorán
一直	yìzhí
一眼	yīyǎn
一瞬间	yīshùnjiān
一筹莫展	yīchóumòzhǎn
一系列	yīxìliè
一线	yīxiàn
一经	yījīng
一致	yízhì
一般	yìbān
一般来说	yìbānláishuō
一般而言	yībānéryán
一行	yīxíng
一言一行	yīyányīxíng
一言不发	yīyánbùfā
一贯	yíguàn
一起	yìqǐ
一路	yīlù
一路上	yīlùshàng
一路平安	yílùpíngān
一路顺风	yīlùshùnfēng
一身	yīshēn
一辈子	yībèizi
一边	yībiān
一连	yīlián
一连串	yīliánchuàn
一道	yīdào
一部分	yībùfèn
一锅粥	yīguōzhōu
一长一短	yīchángyīduǎn
一阵	yīzhèn
一面	yímiàn
一鼓作气	yīgǔzuòqì
一齐	yīqí
丁	dīng
七	qī
七嘴八舌	qīzuǐbāshé
万	wàn
万一	wànyī
万万	wànwàn
万事	wànshì
万分	wànfēn
万古长青	wàngǔchángqīng
万岁	wànsuì
万无一失	wànwúyīshī
万物	wànwù
万能	wànnéng
丈	zhàng
丈夫	zhàngfū
三	sān
三明治	sānmíngzhì
三更半夜	sāngēngbànyè
三番五次	sānfānwǔcì
三维	sānwéi
三角	sānjiǎo
三角形	sānjiăoxíng
三言两语	sānyánliǎngyǔ
上	shàng
上(面)	shàng
上上下下	shàngshàngxiàxià
上下	shàngxià
上个月	shànggèyuè
上任	shàngrèn
上升	shàngshēng
上午	shàngwǔ
上去	shàngqù
上台	shàngtái
上司	shàngsī
上吊	shàngdiào
上周	shàngzhōu
上场	shàngchǎng
上天	shàngtiān
上头	shàngtou
上好	shànghăo
上学	shàngxué
上岗	shànggǎng
上市	shàngshì
上帝	shàngdì
上当	shàngdàng
上扬	shàngyáng
上报	shàngbào
上方	shàngfāng
上旬	shàngxún
上映	shàngyìng
上期	shàngqī
上来	shànglái
上楼	shànglóu
上次	shàngcì
上流	shàngliú
上涨	shàngzhǎng
上游	shàngyóu
上演	shàngyǎn
上火	shànghuǒ
上班	shàngbān
上瘾	shàngyǐn
上空	shàngkōng
上级	shàngjí
上网	shàngwǎng
上街	shàngjiē
上衣	shàngyī
上诉	shàngsù
上课	shàngkè
上调	shàngdiào
上路	shànglù
上车	shàngchē
上边	shàngbiān
上进	shàngjìn
上述	shàngshù
上门	shàngmén
上限	shàngxiàn
上面	shàngmiàn
下	xià
下(面)	xià
下一代	xiàyídài
下个月	xiàgèyuè
下乡	xiàxiāng
下令	xiàlìng
下决心	xiàjuéxīn
下列	xiàliè
下功夫	xiàgōngfū
下午	xiàwǔ
下午茶	xiàwŭchá
下去	xiàqù
下台	xiàtái
下周	xiàzhōu
下场	xiàchǎng
下坠	xiàzhuì
下属	xiàshǔ
下山	xiàshān
下岗	xiàgǎng
下巴	xiàbā
下意识	xiàyìshí
